,0
1254,"<a href=""https://www.youtube.com/watch?v=H_dMoAdRgPc"">https://www.youtube.com/watch?v=H_dMoAdRgPc</a>"
1255,"You are not news but pure unbiased propaganda, let truth and decency destroy you"
1256,"&quot;American Veterans, Current Military &amp; Families&quot;<br>                                                 As of: 10,1,2020 <br>                                      Donald Trump &amp; His Administration...<br>                                        &quot;LIED&quot; &amp; KNOWINGLY ALLOWED&quot;<br>                                          &quot;211,833&quot; AMERICANS TO DIE&quot; <br>                                                &quot;FROM CORONAVRIUS&quot;<br><br>                                 &quot;Trumps thoughts &amp; comments on America&#39;s Military...<br>               Trump allowed Russian Bounties on American Military with no consequences<br>                       (The U.S. would retaliate if bounties on U.S. troops were true<br>            (not taking intelligence information concerning soldiers deaths seriously<br>                             (Trump quote on Russian Bounties---Aug 20,2020)                                     <br>                        Asked wounded veterans be kept out of military parades <br>                  Refused to visit military cemetery in France because it was raining<br>                            Took four collage deferments from 1964 to 1968<br>                       When those deferments ran out, in 1972 Trump then took a<br>                                   1-Y medical deferment due to (bone) spurs<br>                                                 &quot;Trump on (bone) spurs...<br>                 “I had a doctor that gave me a letter, a very strong letter on the heels,” <br>                      &quot;It was not a big problem, “Over a period of time, it healed up,”<br>            (Trump kept his 1-Y status until 1972, when he became 4-F and was permanently <br>                                      disqualified from military service in Vietnam)<br>                                 &quot;58,214 Brothers &amp; Sisters were killed in country&quot;<br>                              Over 1,626 Americans missing &amp; Still Unaccounted for<br>                                            Vietnam Veterans &amp; America<br>                                              Who do you think our lost<br>                                                 Servicemen &amp; Woman<br>                                                      Would Want You<br>                                                         To Vote For<br>                                               &quot;Another Thing...<br>                                                  &quot;America&#39;s Military are not&quot;<br>                                                      &quot;LOSERS &amp; SUCKERS&quot; <br>                                         &quot;You draft dodging lying chicken sh%t&quot;<br>                                               I implore every Vietnam Vet to...<br>                          &quot;Vote Trump &amp; his administration out of office this November&quot;<br>                                                           Or the next <br>                                        &quot;Loser may be YOU or A Family Member&quot;<br>                                                            P.O.W. M.I.A.<br>                                                            Never Forget.."
1257,I almost didn&#39;t watch can&#39;t stand chris he a liberal and sleeping joe he got that smile that looks like a kids that stole something are being dishonest
1258,BIDEN TOLD SO MANY LIES !!!
1259,"You just lied when you said it LIAR, RACIST, SOB!"
1260,!!!!! GOV. CUOMO FOR PRESIDENT !!!!!
1261,"@All so called  NEWS&#39; Media in the Word and All Politicians and the Puppets that control them : <a href=""https://www.youtube.com/watch?v=5TuJ8Pjk9Sw&amp;t=4s"">https://www.youtube.com/watch?v=5TuJ8Pjk9Sw&amp;t=4s</a><br>Fxxk You !!!"
1262,"A politician who works for a people,Trump!!<br><br>That&#39;s character.<br><br>A politician who works for his own benefit,Biden!!<br><br>That&#39;s character.<br><br>What are the qualities of a leader?<br><br>Right!<br><br>It&#39;s a person who thinks only of himself.<br><br>I&#39;m sure he&#39;s rich.It&#39;s natural.<br><br>He works only for his own benefit.<br><br>The person who chose it is splendid.<br><br>They have great eyes!!"
1263,If you see    &quot;And We Know&quot;  channel   he shows proof of cheating during the debate<br><br>Biden wore a wire   AND   more   !!!
1264,I have so much respect for kindergarten teachers now!
1265,Thought they were deciding who gets the last piece of pizza for a second..
1266,😂
1267,Beautiful
1268,burn!
1269,"Hey family we need to heal the planet🌎 she need our help check out this video 🎥here’s the motivation Namaste🙏!<br><br><a href=""https://youtu.be/h2rerX5Edro"">https://youtu.be/h2rerX5Edro</a>"
1270,"Inspired by this news we designed fireproof house.  <a href=""https://youtu.be/U9bDxFSXijE"">https://youtu.be/U9bDxFSXijE</a>"
1271,Unbelievable Damage...
1272,California just needs to make forest fires illegal
1273,Directed energy weapons
1274,Only YOU can prevent Wildfires
1275,"Everyone living in those areas should get long hoses just like that gentleman and have them ready before the fire season starts, that’s what I would do. I would try to fight it, I wouldn’t go out without a good fight. I would feel bad with myself if I didn’t at least try the best I can to protect my home and keep it safe."
1276,Christ Is Coming Soon! These Are Signs💯Repent Now
1277,California has a long history of horrible forest management and they refuse to take advice from forest service. The Governor continues to blame it on fantasy theories.
1278,"Welcome to Commifornia! The Devils playground, hence all the fires."
1279,"The Tidings<br>In the name of Allah, the Beneficent, the Merciful.[78:1]<br>Whereof do they question one another ?<br><br>[78:2]<br>(It is) of the awful tidings,<br><br>[78:3]<br>Concerning which they are in disagreement.<br><br>[78:4]<br>Nay, but they will come to know!<br><br>[78:5]<br>Nay, again, but they will come to know!<br><br>[78:6]<br>Have We not made the earth an expanse,<br><br>[78:7]<br>And the high hills bulwarks ?<br><br>[78:8]<br>And We have created you in pairs,<br><br>[78:9]<br>And have appointed your sleep for repose,<br><br>[78:10]<br>And have appointed the night as a cloak,<br><br>[78:11]<br>And have appointed the day for livelihood.<br><br>[78:12]<br>And We have built above you seven strong (heavens),<br><br>[78:13]<br>And have appointed a dazzling lamp,<br><br>[78:14]<br>And have sent down from the rainy clouds abundant water,<br><br>[78:15]<br>Thereby to produce grain and plant,<br><br>[78:16]<br>And gardens of thick foliage.<br><br>[78:17]<br>Lo! the Day of Decision is a fixed time,<br><br>[78:18]<br>A day when the trumpet is blown and ye come in multitudes,<br><br>[78:19]<br>And the heaven is opened and becometh as gates,<br><br>[78:20]<br>And the hills are set in motion and become as a mirage.<br><br>[78:21]<br>Lo! hell lurketh in ambush,<br><br>[78:22]<br>A home for the rebellious.<br><br>[78:23]<br>They will abide therein for ages.<br><br>[78:24]<br>Therein taste they neither coolness nor (any) drink<br><br>[78:25]<br>Save boiling water and a paralysing cold:<br><br>[78:26]<br>Reward proportioned (to their evil deeds).<br><br>[78:27]<br>For lo! they looked not for a reckoning;<br><br>[78:28]<br>They called Our revelations false with strong denial.<br><br>[78:29]<br>Everything have We recorded in a Book.<br><br>[78:30]<br>So taste (of that which ye have earned). No increase do We give you save of torment.<br><br>[78:31]<br>Lo! for the duteous is achievement -<br><br>[78:32]<br>Gardens enclosed and vineyards,<br><br>[78:33]<br>And maidens for companions,<br><br>[78:34]<br>And a full cup.<br><br>[78:35]<br>There hear they never vain discourse, nor lying -<br><br>[78:36]<br>Requital from thy Lord - a gift in payment -<br><br>[78:37]<br>Lord of the heavens and the earth, and (all) that is between them, the Beneficent; with Whom none can converse.<br><br>[78:38]<br>On the day when the angels and the Spirit stand arrayed, they speak not, saving him whom the Beneficent alloweth and who speaketh right.<br><br>[78:39]<br>That is the True Day. So whoso will should seek recourse unto his Lord.<br><br>[78:40]<br>Lo! We warn you of a doom at hand, a day whereon a man will look on that which his own hands have sent before, and the disbeliever will cry: &quot;Would that I were dust!&quot;"
1280,"Wait, the one guy wants to use a hose to save his house?  He can’t do that, that water needs to be used to save the 3” long delta smelt fish that California covets so dearly, how dare he."
1281,"<b>JESUS IS COMING! Repent!</b> <br><a href=""https://youtu.be/IrA2hPL23fs"">https://youtu.be/IrA2hPL23fs</a>"
1282,"Stop  Investment on  useless  space research ....... because we can&#39;t go and live on moons, Mars, Galaxy s.  I think it&#39;s foolish thing to invest millions to go and live, it is impossible  and not required . and....it takes too many years to reach the Mars...... So where is the question of living there ?.........we living on Earth....so please love and save , don&#39;t harm ... the nature with us..... surrounded nature , forest , wildlife.  And love the animals...... instead of this.....we are destroyed, destroying   wild life habitates,forest .....till today. ......<br><br>Foolish space scientists..... not able to find the better methods to  calm down<br> or stop bushfire, flood s..... which affect the wild life, animals , forest  .....this is the  great arena we<br> live in"
1283,Feel bad for people who lost their home !!
1284,Interesting to use hectres. Us don&#39;t really use it
1285,Italian mafia!!!!
1286,How does he find time to get a tan??
1287,"I was diagnosed of herpes 4 years ago but no doctor could cure me until i came across Dr OSABA who gave me his medicine that revived my life and today i&#39;m tested negative to herpes I don&#39;t need to talk too much about Dr osaba but you too can contact him for any kind of cure on his email him <br>droosabacurehome@<a href=""http://gmil.com/"">gmil.com</a>      WhatsApp him via +2348132322488"
